рейтинг,название на русском,назвение на английском,год выпуска,рейтинг кинопоиска
350,Монстры на каникулах: Трансформания,Hotel Transylvania: Transformania,2022,6.4
351,Заклятие,The Conjuring,2013,7.4
352,Бойфренд из будущего,About Time,2013,7.9
353,Невыносимая тяжесть огромного таланта,The Unbearable Weight of Massive Talent,2022,7.0
354,Медведь,The Bear,2022,7.6
355,Молчание ягнят,The Silence of the Lambs,1990,8.3
356,Гарри Поттер и Дары Смерти: Часть I,Harry Potter and the Deathly Hallows: Part 1,2010,7.9
357,"Ева, рожай!",,2022,6.1
358,Засланец из космоса,Resident Alien,2021,8.1
359,Битва экстрасенсов,,2007,5.5
360,Залечь на дно в Брюгге,In Bruges,2007,7.8
361,Grand Канкан,,2020,
362,Секс в большом городе,Sex and the City,1998,8.1
363,Тетрадь смерти,Desu noto,2006,8.6
364,Тролль,Troll,2022,5.8
365,Крепкий орешек,Die Hard,1988,8.0
366,Воскрешение,Resurrection,2013,6.9
367,Королевство,Riget,1994,7.5
368,Оффлайн,,2022,7.8
369,Четыре Рождества,Four Christmases,2008,6.2
370,Тачки 3,Cars 3,2017,7.3
371,Чудо на 34-й улице,Miracle on 34th Street,1994,7.4
372,Содержанки,,2019,6.7
373,Наследники,Succession,2018,8.0
374,Исчезнувшая,Gone Girl,2014,8.0
375,Старикам тут не место,No Country for Old Men,2007,7.8
376,Холоп,,2019,6.8
377,Игра,The Game,1997,8.3
378,Легенда о Зелёном Рыцаре,The Green Knight,2020,6.2
379,Форрест Гамп,Forrest Gump,1994,8.9
380,Ценности семейки Аддамс,Addams Family Values,1993,7.7
381,Гадкий я 3,Despicable Me 3,2017,6.3
382,Большая маленькая ложь,Big Little Lies,2017,8.1
383,Город Зеро,,1988,7.7
384,Дневник памяти,The Notebook,2004,8.2
385,Родные,,2021,7.1
386,Мстители: Финал,Avengers: Endgame,2019,7.8
387,Оно,It,2017,7.3
388,Крик,Scream,2022,6.2
389,Земля кочевников,Nomadland,2020,7.2
390,Кухня,,2012,8.2
391,Эмили,Emily,2022,7.3
392,Чёрная Пантера,Black Panther,2018,6.6
393,Почему женщины убивают,Why Women Kill,2019,8.3
394,1703,,2022,6.9
395,Лэйт Найт Скул,,2022,6.2
396,Матрица,The Matrix,1999,8.5
397,Вечные,Eternals,2021,6.4
398,Анализируй это,Analyze This,1999,7.4
399,Побег,Prison Break,2005,8.4
400,"Знакомьтесь, Джо Блэк",Meet Joe Black,1998,8.0
401,Проект «Адам»,The Adam Project,2022,6.6
402,Чрезвычайная ситуация,Bisangseoneon,2021,7.1
403,Гарри Поттер и Принц-полукровка,Harry Potter and the Half-Blood Prince,2009,7.8
404,Игра на понижение,The Big Short,2015,7.4
405,Пока ты спал,While You Were Sleeping,1995,7.5
406,Топи,,2021,6.9
407,Аврора,,2022,7.1
408,Игры разума,A Beautiful Mind,2001,8.5
409,Новичок,The Rookie,2018,8.1
410,Омерзительная восьмерка,The Hateful Eight,2015,8.0
411,Стражи Галактики,Guardians of the Galaxy,2014,7.8
412,Маленькие женщины,Little Women,2019,7.8
413,Человек-мотылек,The Mothman Prophecies,2001,6.8
414,Дрянь,Fleabag,2016,8.2
415,Пятьдесят оттенков серого,Fifty Shades of Grey,2015,4.4
416,Семейка Аддамс,The Addams Family,1964,7.8
417,Крестный отец,The Godfather,1972,8.7
418,Подельники,,2022,6.6
419,Джанго освобожденный,Django Unchained,2012,8.2
420,Жизнь прекрасна,La vita è bella,1997,8.6
421,Зверополис,Zootopia,2016,8.3
422,Переговорщик,,2022,7.1
423,Конёк-Горбунок,,2021,6.9
424,Человек дождя,Rain Man,1988,8.2
425,Холодное сердце 2,Frozen II,2019,7.3
426,Смешарики. Новый сезон,,2020,9.0
427,Озарк,Ozark,2017,7.9
428,28 дней спустя,28 Days Later...,2002,7.5
429,Мой ангел-хранитель,My Sister's Keeper,2009,7.9
430,Аллея кошмаров,Nightmare Alley,2021,7.1
431,Однажды в Ирландии,The Guard,2011,7.6
432,Хрустальный,,2021,8.1
433,Люцифер,Lucifer,2016,7.6
434,Рождественские каникулы,National Lampoon's Christmas Vacation,1989,7.2
435,Судзумэ закрывает двери,Suzume no tojimari,2022,
436,Казнь,,2021,7.5
437,Семь психопатов,Seven Psychopaths,2012,7.3
438,Гарри Поттер и Дары Смерти: Часть II,Harry Potter and the Deathly Hallows - Part 2,2011,8.1
439,Синий Трактор,,2014,8.0
440,Мост,Bron/Broen,2011,8.3
441,Элита,Élite,2018,7.5
442,Жизнь Дэвида Гейла,The Life of David Gale,2002,8.1
443,Истинная красота,Yeosingangrim,2020,8.2
444,Страна снов,Slumberland,2022,6.9
445,Дом Gucci,House of Gucci,2021,7.2
446,Невероятные приключения ДжоДжо,JoJo no Kimyou na Bouken,2012,8.6
447,Лучшее предложение,La migliore offerta,2012,8.0
448,Серый человек,The Gray Man,2022,6.5
449,Босс-молокосос 2,The Boss Baby: Family Business,2021,7.3
450,Догвилль,Dogville,2003,8.0
451,Великолепный век,Muhtesem Yüzyil,2011,8.2
452,Прочь,Get Out,2017,7.1
453,Мальчик по имени Рождество,A Boy Called Christmas,2021,6.5
454,Джокер,Joker,2019,8.0
455,Брат,,1997,8.3
456,Наследники и самозванцы,,2022,7.6
457,Щелкунчик и четыре королевства,The Nutcracker and the Four Realms,2018,6.0
458,Чикатило,,2020,6.6
459,Мир! Дружба! Жвачка!,,2020,7.8
460,Вечное сияние чистого разума,Eternal Sunshine of the Spotless Mind,2004,8.0
461,Ход королевы,The Queen's Gambit,2020,8.3
462,Happy End,,2021,7.4
463,Звёздные войны: Эпизод 1 — Скрытая угроза,Star Wars: Episode I - The Phantom Menace,1999,7.9
464,Иван Васильевич меняет профессию,,1973,8.8
465,Последний богатырь,,2017,7.0
466,Области тьмы,Limitless,2011,8.0
467,Одна,,2021,6.7
468,Никто,Nobody,2021,7.4
469,Красотка,Pretty Woman,1990,8.0
470,В погоне за счастьем,The Pursuit of Happyness,2006,8.3
471,Следом за жизнью,After Life,2019,7.8
472,Обмани меня,Lie to Me,2009,8.1
473,Невидимая сторона,The Blind Side,2009,8.2
474,Последний клиент,Klienten,2022,7.0
475,Паразиты,Gisaengchung,2019,8.0
476,Пережить Рождество,Surviving Christmas,2004,6.7
477,Одаренная,Gifted,2017,7.9
478,Дикие предки,,2022,
479,В объятиях лжи,Greta,2018,6.4
480,Скрытые фигуры,Hidden Figures,2016,7.9
481,Власть пса,The Power of the Dog,2021,6.6
482,Платформа,El hoyo,2019,7.1
483,Шоу Трумана,The Truman Show,1998,8.3
484,Запах женщины,Scent of a Woman,1992,8.4
485,Казанова в России. Тайная миссия,,2021,7.3
486,Тест на беременность,,2014,8.2
487,Ты,You,2018,7.4
488,Неспящие в Сиэттле,Sleepless in Seattle,1993,7.7
489,Прослушка,The Wire,2002,8.5
490,Мстители: Война бесконечности,Avengers: Infinity War,2018,8.0
491,Дурной глаз,Nocebo,2022,6.3
492,Человек-паук: Через вселенные,Spider-Man: Into the Spider-Verse,2018,8.1
493,Тайная жизнь домашних животных 2,The Secret Life of Pets 2,2019,6.8
494,Вуайеристы,The Voyeurs,2021,6.4
495,Черный ящик,Boîte noire,2020,7.6
496,Морбиус,Morbius,2022,5.5
497,Измены,,2015,8.1
498,Пиноккио,Pinocchio,2022,5.4
499,Соник 2 в кино,Sonic the Hedgehog 2,2022,6.3
500,Поменяться местами,Trading Places,1983,7.7
501,Анастасия,Anastasia,1997,8.1
502,Охотник за разумом,Mindhunter,2017,8.1
503,Kingsman: Секретная служба,Kingsman: The Secret Service,2015,7.7
504,Форсаж 9,F9,2021,5.7
505,Сокровище нации: На краю истории,National Treasure: Edge of History,2022,
506,Пэрл,Pearl,2022,6.6
507,Гриффины,Family Guy,1999,7.7
508,Ноэль,Noel,2004,7.0
509,Солнцестояние,Midsommar,2019,6.5
510,Пара из будущего,,2021,6.7
511,Головоломка,Inside Out,2015,8.1
512,Невероятная жизнь Уолтера Митти,The Secret Life of Walter Mitty,2013,7.7
